file,410pred,410err,410amp,410qual,660pred,660err,660amp,660qual
0_0,-154.57083666100002,0.12912316038,380.25102398900003,0.9275,-226.921501058,0.12470429009000002,405.11785315099996,0.885
0_105.00,-155.772803743,0.0758408774954,256.155227083,0.7125,-228.664262122,0.15057719323899998,242.51604055599998,0.9375
0_120.00,-154.039738009,0.116083832663,207.82177330599998,0.9675,-228.577368566,0.193594552582,171.67134491,0.9675
0_135.00,-154.855737595,0.147124247649,206.811752234,0.9625,-228.87840209900003,0.128914889671,176.51320071799998,0.9425
0_15.00,-155.17449941700002,0.304433543353,233.90912628799998,0.9425,-227.846630989,0.133984895851,256.402995074,0.9075
0_150.00,-156.538692411,0.14965234727600002,260.770876713,0.9325,-230.790862099,0.234245578064,295.19046831400004,0.9475
0_165.00,-158.316104739,0.134660513668,415.00577073,0.7925,-229.79443230400003,0.150330556177,440.98626361199996,0.9125
0_180.00,-158.610927147,0.111334077644,685.640262285,0.82,-228.82711668599998,0.0875910973197,611.1664666190001,0.865
0_195.00,-157.259821071,0.0907572422801,2008.28961699,0.93,-228.093631733,0.105149694004,1833.27397905,0.91
0_210.00,-157.285659626,0.11519982224099999,3080.92295462,0.9875,-227.79108691599998,0.111593173783,2993.39820869,0.9075
0_225.00,-157.19842613,0.12208493336,2153.49066737,0.9725,-227.217899324,0.0733031977843,1878.56560032,0.8525
0_240.00,-157.33200599,0.100952870924,1313.82376552,0.905,-227.019800279,0.08483207440739998,1053.3370726,0.86
0_255.00,-156.235968483,0.09960630299360002,480.68157021400003,0.915,-226.894434402,0.176955419988,376.76388565800005,0.8925
0_270.00,-155.27958430200002,0.13837134973200002,827.061832605,0.9625,-227.966522569,0.113449601597,599.245462032,0.89
0_285.00,-155.01107604,0.141741413612,1032.98066585,0.94,-228.442703717,0.15670397488600002,722.263123101,0.9625
0_30.00,-155.585495995,0.08770370992979999,127.967411249,0.6125,-225.373743663,0.204693897463,182.88697547799998,1.0575
0_300.00,-157.281465677,0.184910236931,798.1544716489999,1.0125,-229.91742297099998,0.143490758305,741.5480760869999,0.915
0_315.00,-156.88005683,0.113570357553,1887.12183615,0.99,-228.647968152,0.152334405062,1916.30634761,0.935
0_330.00,-156.298272139,0.160848377047,1451.04506771,0.985,-228.149439015,0.0992485680163,1369.58025073,0.8425
0_345.00,-155.493152492,0.12436038042400001,707.97753363,0.8975,-227.035268765,0.10017111511499999,725.7325482919999,0.85
0_45.00,-152.751300408,0.124195067266,209.646250804,0.9125,-224.44715468599998,0.23471145630399998,297.183122559,1.13
0_60.00,-155.248137873,0.160583744517,318.919945703,0.785,-226.888167765,0.130205420276,442.762990353,0.885
0_75.00,-155.866158349,0.157058965862,368.27111029800005,0.7525,-227.17559589099997,0.142278309216,430.547646826,0.92
0_90.00,-155.35126446,0.0550614910325,308.422005479,0.665,-226.90602708400002,0.216074832568,273.69890683299997,0.92
15_0,-153.977306957,0.07375015215160001,250.03367271599998,0.635,-227.082739755,0.153975283707,303.639899566,0.88
15_109.55,-156.684408926,0.102386983805,367.77104922800004,0.8075,-228.913050723,0.152548338242,411.724996825,0.9375
15_125.20,-155.582079368,0.0690749998802,590.174502457,0.865,-230.18681799,0.142292359187,517.7226024,0.9575
15_140.85,-156.30407856,0.149163502858,621.197487389,0.945,-232.209829245,0.143924394859,556.153995679,0.8675
15_15.65,-156.128524675,0.11407704273600001,230.549092099,0.91,-228.702469358,0.157031491258,246.27987742,0.9225
15_156.50,-157.905272229,0.136584090786,323.608603174,0.865,-231.519665116,0.12459707419600001,324.40283196900003,0.795
15_172.15,-158.463051433,0.0778393257233,694.3955943489999,0.9175,-228.913602756,0.0758959892571,581.939351184,0.9375
15_187.80,-158.227218845,0.103465850739,793.340815292,0.9675,-228.13156284599998,0.160064407766,678.26562091,0.9475
15_203.45,-158.086324251,0.150362097058,1350.0652765999998,0.9825,-227.02559683299998,0.0780924646035,1158.22280703,0.8925
15_219.10,-158.09665900299998,0.0922121001183,1972.59920925,0.98,-227.55497266400002,0.0655760682531,1681.30825261,0.8575
15_234.75,-158.054124466,0.140941158053,1293.45340327,0.9125,-227.63184841900002,0.09371621966180001,1280.63316952,0.8575
15_250.40,-157.068344344,0.10153923296499999,515.299145384,0.895,-226.59784662200002,0.15573751536,587.993430477,0.9375
15_266.05,-156.550166234,0.12360129147299999,329.117812572,0.975,-226.9219788,0.13550051925,340.76047817200003,0.9075
15_281.70,-155.647520276,0.093250595427,313.508985957,0.7375,-226.97176619799998,0.138632461994,323.847299704,0.9175
15_297.35,-156.972812571,0.143806291522,374.99688642300003,0.9325,-227.181814998,0.17703141931,432.10800940400003,0.95
15_31.30,-154.945503546,0.09817299882760001,165.271829037,0.8975,-228.163398598,0.16681115318700002,153.061272629,0.9325
15_313.00,-157.075297352,0.17118845269400002,667.690930847,1.0375,-227.61804151299998,0.195231490531,809.1889584219999,0.9475
15_328.65,-156.867257629,0.12788534473899998,733.710898356,0.905,-227.52896271,0.192286707128,868.319837108,0.935
15_344.30,-154.45364079200002,0.13090352746,455.812776294,0.92,-226.384075494,0.158148036634,478.388181164,0.9175
15_46.95,-152.036080532,0.0813203134941,203.944466567,0.91,-225.01988843200002,0.15940768217499998,220.045777437,1.02
15_62.60,-157.408625193,0.13961897958900002,131.410147725,0.795,-227.22492242299998,0.132827176824,194.664265525,0.8975
15_78.25,-156.759882562,0.0777318629146,157.62006437899998,0.74,-228.125323695,0.11648869090500001,185.538504507,0.8975
15_93.90,-156.699142517,0.0619577989051,172.127753961,0.695,-228.09825777400002,0.12141736337200001,191.172233345,0.915
