file,410time,410error,410quality,660time,660error,660quality
19891018A.california.CAN.BHT,-152.97232096462,0.07121722431004042,0.6025,-223.330401320378,0.13351022399561455,0.695
19910713A.oregon.CAN.BHT,-156.31870538137937,0.158423801320159,0.74,-224.51563594876046,0.08703416342207483,0.72
19910713A.oregon.DRV.BHT,-156.66273314862156,0.1273230171146533,0.6925,-233.82621631571297,0.11237310861550666,0.66
19910817A.california.CAN.BHT,-154.01159314794347,0.10364422957427112,0.9,-224.14285751691898,0.09322773807950137,0.7925
19921108A.fiji.OBN.BHT,-157.2253789934839,0.17312696165677818,0.6925,-224.08957454671656,0.21750321844447829,0.7675
19930113A.india.ANMO.BHT,-159.7897204010505,0.3913070506963791,0.6525,-228.50835303616128,0.18945946850878576,0.685
19930113A.india.NRIL.BHT,-155.0660628282329,0.0687636847815107,0.9,-226.4866506734602,0.17030618510654658,0.7225
19930113A.india.PAS.BHT,-159.53445119748545,0.2930581375037069,0.6225,-225.6811571953157,0.2274096141286241,0.715
19930306A.fiji.LVZ.BHT,-161.16046530666515,0.15040866671493705,0.7275,-230.92417572378898,0.12903766381649293,0.825
19930315A.chile.CTAO.BHT,-146.88828986392858,0.13463279690665375,0.7375,-225.65255150284898,0.15713622452654635,0.7175
19930630A.vanuatu.WUS.BHT,-149.86969974276292,0.06841258756801978,0.645,-221.9498196369539,0.16556743432609408,0.6825
19930706A.easterisland.TLY.BHT,-162.1137628285073,0.08940937965564193,0.68,-236.18568207748763,0.2418370098909338,0.655
19930901A.indonesia.SJG.BHT,-166.31076515774302,0.14709573910869092,0.8075,-247.55851442997317,0.1023280031534515,0.71
19930927A.atlantic.A35.BHT,-157.8549323416537,0.20742916407958947,0.605,-225.14327959194787,0.09082888371939006,0.8075
19930927A.atlantic.A36.BHT,-156.04516578050453,0.10633003196884737,0.7425,-223.05445155185586,0.0705333981380837,0.765
19930927A.atlantic.A38.BHT,-153.59716277730791,0.1349825732373875,0.83,-220.8401291576397,0.2026042578462832,0.835
19930927A.atlantic.A40.BHT,-152.38118366908202,0.2664110185786224,0.7175,-219.98736402793256,0.12306463176478735,0.73
19931013A.png.FURB.BHT,-165.16466793289896,0.11182618786961226,0.7,-237.5399571803725,0.13486004948506072,0.67
19931024A.mexico.BOSA.BHT,-156.84229112222016,0.09964617356129073,0.825,-224.7847121538001,0.07940543510085885,0.8075
19931105A.bismarck.LPAZ.BHT,-158.06969016330618,0.11853395608806434,0.84,-233.0633692939991,0.19423179226937645,0.775
19940618A.newzealand.TARA.BHT,-156.43960870475726,0.12757123166936427,0.71,-223.88316408729904,0.13767852020007065,0.7175
19941013A.indonesia.TSUM.BHT,-152.5153890508636,0.16551800284462478,0.8175,-222.815810451585,0.11101668829767752,0.6725
19941031A.indonesia.SJG.BHT,-166.0728063185175,0.3058774512113073,0.68,-248.60953797219184,0.07744873349935869,0.66
19950205A.newzealand.MBC.BHT,-150.4879669092188,0.10008113852711698,0.6475,-233.0219242732476,0.09288604096195936,0.6475
19950219A.california.AMBA.BHT,-155.18682576080488,0.16431037829807454,0.7625,-231.59807153439547,0.13742903364763656,0.7325
19950219A.california.BGCA.BHT,-157.47045633807596,0.09597007792400176,0.7925,-220.54338465822568,0.08868388412327502,0.7575
19950219A.california.MBWE.BHT,-156.6125276185567,0.0635840346591258,0.6675,-229.6690529053096,0.21832298953865945,0.6375
19950219A.california.MITU.BHT,-151.90482324183364,0.195638698246351,0.845,-230.7157858458572,0.08689044638398574,0.6725
19950326A.southsandwich.BRVK.BHT,-155.22356252854104,0.1387811641674834,0.615,-227.325712102936,0.06325435118861128,0.78
19950421A.philippine.CPUP.BHT,-167.58715029934302,0.13201109308212405,0.6975,-248.15819064363117,0.16364254843924808,0.7725
19950523A.atlantic.ICAN.BHT,-158.66376488661493,0.20937094653836527,0.62,-233.37813879092147,0.17472110854666634,0.8475
19950529A.santacruz.KEG.BHT,-165.36385782708413,0.14729450153985688,0.66,-234.89678486954628,0.2302187477550709,0.7325
19950531A.mexico.BRVK.BHT,-152.08029321968894,0.1351638313006284,0.8975,-222.1549784388092,0.20760061403795071,0.67
19950531A.mexico.ZRN.BHT,-155.5841054746187,0.10433538284079738,0.62,-222.26251614342675,0.2025299976995107,0.8075
19950621A.balleny.CMB.BHT,-152.77039498447832,0.1003205592739796,0.7025,-227.88466673470242,0.1935415747676895,0.65
19950621A.balleny.KBS.BHT,-162.4523205559249,0.20833016742962251,0.665,-242.52999716482685,0.08237956660531262,0.665
19950621A.balleny.TLG.BHT,-149.15796001269416,0.1644807168731959,0.785,-226.79556192688784,0.0583847548363262,0.715
19950807A.micronesia.CRUZ.BHT,-164.5808540949862,0.1335063969774566,0.915,-226.84053110674807,0.2338313353414367,0.6275
19950829A.indianridge.YKW3.BHT,-161.8464664798352,0.11420148410009108,0.605,-242.78973922883324,0.15419444287382764,0.6675
19950923A.peru.TKM2.BHT,-164.6997827338453,0.14510547393094025,0.65,-231.5704127808708,0.23315197104055824,0.7825
19951013A.macquarie.DRLN.BHT,-164.5195114425303,0.11566173923611107,0.76,-237.98271583425338,0.0799268137689053,0.6625
19951108A.sumatera.ISA.BHT,-150.43937217885366,0.1994263331556813,0.81,-226.6615572651448,0.2051269650105736,0.715
19951201A.pacific.CHKZ.BHT,-149.0369514740754,0.11657315908285396,0.69,-225.61086871697654,0.10227624936184684,0.605
19951201A.pacific.CTAO.BHT,-151.25116122473577,0.07223283162078319,0.7525,-220.08797839567944,0.08433539293227163,0.7025
19951201A.pacific.KURK.BHT,-154.8477331843481,0.05591631929656293,0.65,-221.99928357778103,0.08280762658041547,0.635
19951201A.pacific.LSA.BHT,-155.94436461321612,0.1831646798878542,0.7925,-233.8268144322387,0.07289847815007408,0.74
19951211A.mexico.PMG.BHT,-160.71729345832242,0.0909722725723755,0.7175,-216.49302423166145,0.11018485231513757,0.7
19951230A.pacific.BGCA.BHT,-154.38338481517917,0.14280078724562992,0.805,-225.0612337195801,0.18725573552766367,0.6075
19951230A.pacific.SYO.BHT,-158.85767722800915,0.08675405666672216,0.87,-214.77223345970157,0.1742151777449181,0.85
19951230A.pacific.WUS.BHT,-160.7716371071307,0.08282496643336654,0.6875,-241.37841197617828,0.21548106523232372,0.77
19960218A.ascension.MTCA.BHT,-153.07164391441853,0.07233036203568527,0.6675,-231.116191977441,0.17463445536754427,0.825
19960324A.macquarie.LVZ.BHT,-158.86097241213383,0.14209016020920062,0.6675,-237.9862848273568,0.16949234439630922,0.6125
19960324A.macquarie.ULN.BHT,-162.77108595817487,0.5843829410001402,0.7675,-211.56729292863884,0.18096964327510107,0.685
19960602A.atlantic.BJT.BHT,-151.89986829112826,0.20254760340867764,0.9525,-226.77188779984084,0.2541374126961026,0.82
19960606A.indianridge.ALQN.BHT,-168.79242937394406,0.15062021938995476,0.67,-243.87392671323016,0.06765385002639689,0.7625
19960606A.indianridge.ERM.BHT,-147.75805669484032,0.3054095404563506,0.6225,-220.59629449934502,0.25845991650238026,0.6925
19960611A.philippine.ALQN.BHT,-151.6239341385353,0.1312695469023946,0.81,-228.8053667735625,0.17391845095252384,0.77
19960611A.philippine.BISC.BHT,-149.3912502391321,0.291776067721097,0.7775,-228.1206309926185,0.09720485021963826,0.7375
19960611A.philippine.POP10.BHT,-148.0763520076474,0.13623400148115328,0.9225,-227.07633144947803,0.11030454979688877,0.6925
19960611A.philippine.POP7.BHT,-147.53026730250298,0.208869549269672,0.7025,-226.95632431332183,0.0783083344949798,0.6525
19960611A.philippine.POP8.BHT,-146.69211081778872,0.18587817690650746,0.895,-227.0751980058572,0.09207788639216392,0.6575
