file,time,error,quality
0_0,-153.620083688,0.23272905747900002,0.855
0_105.00,-154.331679563,0.13518255678899999,0.8025
0_112.50,-154.252488648,0.152502439053,0.8575
0_120.00,-153.586588751,0.060306661355800005,0.7875
0_127.50,-152.941078125,0.136747117023,0.8125
0_135.00,-154.673680951,0.165471876198,0.85
0_142.50,-155.527658422,0.10644543434699999,0.885
0_150.00,-156.877393158,0.204459946433,0.8
0_157.50,-155.911530125,0.17998513319,0.6875
0_165.00,-157.644322359,0.098273303762,0.6
0_180.00,-158.458354394,0.0604341840206,0.615
0_187.50,-157.597718617,0.0717835059741,0.8175
0_195.00,-157.722762101,0.09066228185239998,0.8925
0_202.50,-156.517465384,0.0680990454176,0.6775
0_210.00,-156.863531554,0.11262089689600001,0.725
0_217.50,-156.585841634,0.08675151366350001,0.9
0_22.50,-154.609982792,0.0950685797415,0.625
0_225.00,-156.781335785,0.11286205963,0.9475
0_232.50,-157.325582521,0.113548226059,0.9825
0_240.00,-157.04898631,0.16898770340799998,0.9125
0_247.50,-155.44323179,0.20449804706799998,1.05
0_255.00,-156.93004536700002,0.120763132022,0.8775
0_262.50,-155.831517094,0.119741632237,0.7825
0_270.00,-155.278427281,0.0618288361079,0.6725
0_277.50,-155.371947449,0.07162165475889999,0.6475
0_285.00,-155.25710803799998,0.168479354128,0.865
0_292.50,-153.39414364299998,0.289296336112,0.6775
0_300.00,-157.80983597,0.0820031280963,0.645
0_307.50,-157.670145177,0.110867772194,0.9
0_315.00,-156.69993797200001,0.213941937386,0.9175
0_322.50,-156.45374500399998,0.134660646271,0.8925
0_330.00,-156.94810073899998,0.103834096305,0.8325
0_337.50,-156.068685155,0.0996882577768,0.91
0_345.00,-155.997880396,0.11209252869999999,0.91
0_352.50,-154.70854406700002,0.13499796933900002,0.9
0_45.00,-151.380884055,0.0606675743764,0.605
0_52.50,-152.585055175,0.069994652319,0.86
0_60.00,-155.967831009,0.043458984617,0.6525
0_75.00,-155.226529102,0.103828434245,0.72
0_82.50,-155.329576165,0.08090257242410001,0.665
0_90.00,-155.272018501,0.07155105273,0.6
15.0_101.66,-157.259421822,0.121841388335,0.835
15.0_109.48,-156.920825881,0.13203145744699998,0.7925
15.0_117.30,-153.698221455,0.0590549189855,0.7325
15.0_125.12,-155.118518117,0.107684712717,0.9425
15.0_132.94,-155.34789210600002,0.08147845733239999,0.9
15.0_140.76,-156.142811339,0.14046087783,0.915
15.0_148.58,-158.625897168,0.224276728394,0.8675
15.0_15.64,-155.51146194,0.18309998083,0.9525
15.0_156.40,-158.959822539,0.154132950716,0.84
15.0_164.22,-159.300702989,0.18708781440699998,0.8475
15.0_172.04,-157.732617759,0.17100042443100003,0.9025
15.0_179.86,-157.907722732,0.225595421076,0.8175
15.0_187.68,-159.241705089,0.09607888758870001,0.6725
15.0_195.50,-158.060997386,0.198179865924,0.915
15.0_203.32,-157.339817291,0.13025048078600002,0.825
15.0_211.14,-158.264185243,0.09875372329,0.89
15.0_218.96,-158.53982884200002,0.116406404569,0.8025
15.0_226.78,-158.648829859,0.0748006268971,0.6675
15.0_23.46,-155.034947321,0.14616771384000002,0.9025
15.0_234.60,-157.823731015,0.0693430184837,0.67
15.0_242.42,-156.994888583,0.18501556144499998,0.9275
15.0_250.24,-156.650228214,0.0990878826375,0.92
15.0_258.06,-158.34937068899998,0.07994916337260001,0.82
15.0_265.88,-157.298530784,0.155425278708,0.775
15.0_273.70,-156.581365301,0.20814295670299998,0.9925
15.0_281.52,-156.08369428700001,0.374560753812,0.95
15.0_289.34,-156.992075475,0.0821612433967,0.6425
15.0_304.98,-156.392309194,0.11263017266200001,0.8225
15.0_31.28,-157.36623519399998,0.077233111743,0.6475
15.0_312.80,-157.477676848,0.0619776061333,0.625
15.0_320.62,-157.10580214700002,0.202717587229,0.8525
15.0_328.44,-157.168748862,0.122922803492,0.8775
15.0_336.26,-154.870067554,0.0901505316952,0.7375
15.0_344.08,-154.104581896,0.09025759444489999,0.705
15.0_351.90,-153.349302897,0.12720853538,0.7175
15.0_39.10,-153.47467395299998,0.122009948187,0.735
15.0_46.92,-150.156209555,0.240023263645,0.7575
15.0_54.74,-152.385055623,0.123459566516,0.64
15.0_62.56,-153.28568987399998,0.141434717076,0.635
15.0_7.82,-158.12955907,0.122729874334,0.88
15.0_78.20,-159.703779416,0.0815386399847,0.66
22.5_106.34,-158.46513910299998,0.142553417367,0.7725
22.5_114.52,-158.20365657600001,0.13556343315,0.78
22.5_122.70,-154.801074658,0.112619921998,0.8325
22.5_130.88,-155.738322766,0.053420082048899996,0.8625
22.5_139.06,-155.735067136,0.0958115697773,0.8775
22.5_147.24,-156.629565883,0.17898388963,0.8675
22.5_16.36,-153.80163745299998,0.206057594439,0.915
22.5_171.78,-157.938432748,0.140322047861,0.8775
22.5_179.96,-158.445444241,0.0745961002299,0.8275
22.5_188.14,-158.845470271,0.116114372255,0.95
22.5_196.32,-158.491848916,0.108736022784,0.9275
22.5_204.50,-158.309716573,0.0797095091863,0.815
22.5_212.68,-158.208476735,0.08332294385080001,0.8825
22.5_220.86,-159.30248309,0.127208448069,1.03
22.5_229.04,-159.062775811,0.132982872636,0.85
22.5_237.22,-157.444700151,0.08385304522199999,0.63
22.5_24.54,-155.319684225,0.15050803290200002,0.7425
22.5_245.40,-156.652959744,0.0826379719993,0.66
22.5_253.58,-155.997018393,0.104021096568,0.67
22.5_261.76,-156.349536495,0.253266250238,0.825
22.5_269.94,-154.302834723,0.115654316319,0.62
22.5_278.12,-155.389115487,0.165463670006,0.725
22.5_286.30,-156.30527679899998,0.223534414549,0.7925
22.5_294.48,-156.568165544,0.0586280807636,0.66
22.5_302.66,-157.71517571299998,0.07164644634489999,0.71
22.5_310.84,-158.795338878,0.130370915065,0.945
22.5_319.02,-158.153142904,0.114979502384,0.6975
22.5_32.72,-155.96036952,0.175987885382,0.6825
22.5_327.20,-157.34732137,0.146910323153,0.9125
22.5_335.38,-156.175674353,0.144866869976,0.87
22.5_343.56,-153.894445814,0.153181791292,0.7925
22.5_351.74,-152.990452278,0.106867903399,0.6225
22.5_40.90,-151.927189145,0.34201751140500003,0.79
22.5_49.08,-151.286529604,0.12973275021199998,0.9225
22.5_57.26,-154.720911869,0.24901468956300002,0.74
22.5_81.80,-158.666459707,0.214593450409,0.6425
