file,time,error,quality
19881117A.philippine.HRV.BHT,-162.4528021288216,0.11270059322000513,0.6325
19891018A.california.CAN.BHT,-152.97232096462,0.07121722431004042,0.6025
19900208A.philippine.CCM.BHT,-154.17094929032794,0.09958930665876176,0.68
19900508A.panama.INU.BHT,-163.71869636855467,0.1979390046515601,0.775
19900914A.southsandwich.ERM.BHT,-161.9954709480831,0.3293229814287503,0.605
19901221A.tonga.SUR.BHT,-152.80067666709758,0.16336354072419745,0.67
19910105A.myanmar.ANMO.BHT,-153.0104545628696,0.13784946467431144,0.855
19910610A.atlantic.ERM.BHT,-146.62124139134778,0.1102217850399302,0.715
19910702A.sumatera.CCM.BHT,-151.67365881575955,0.27610052307370125,0.6575
19910704A.indonesia.TAM.BHT,-148.56534060055816,0.3071245939801261,0.71
19910713A.oregon.CAN.BHT,-156.31870538137937,0.158423801320159,0.74
19910713A.oregon.DRV.BHT,-156.66273314862156,0.1273230171146533,0.6925
19910808A.minahassa.GSC.BHT,-153.93850889452068,0.1845840267289279,0.8525
19910816A.california.CAN.BHT,-153.16084802569128,0.15772897787568296,0.895
19910817A.california.CAN.BHT,-154.01159314794347,0.10364422957427112,0.9
19910817A.california.DRV.BHT,-158.4319529911312,0.07580268796101244,0.645
19910918A.guatemala.DRV.BHT,-156.96689260419305,0.3454145714193869,0.8375
19920403A.png.CCM.BHT,-154.14593367727258,0.13972651986299248,0.755
19920403A.png.HRV.BHT,-160.24770872134786,0.2422133681980924,0.76
19920406A.vancouver.CAN.BHT,-159.33903479597862,0.12969575607840325,0.675
19920423A.california.CTAO.BHT,-148.42704023612504,0.1742274118564499,0.8575
19920518A.panama.WUS.BHT,-164.02279593348192,0.08900849396708684,0.745
19920525A.cuba.CAN.BHT,-163.05056216088482,0.11841252811698914,0.7
19920710A.kuril.DRV.BHT,-146.57602379007238,0.14100863465698052,0.815
19920802A.indonesia.ANMO.BHT,-151.72017553291852,0.11287215653986132,0.6475
19920828A.ascension.SEY.BHT,-153.48755353406176,0.3620180849959989,0.7775
19920928A.taiwan.CCM.BHT,-149.83705504472633,0.4695397599463014,0.8425
19921024A.newzealand.AQU.BHT,-156.26263394475,0.1472025918606266,0.885
19921108A.fiji.ARU.BHT,-152.9442720484446,0.14936626482539456,0.7025
19921108A.fiji.CACB.BHT,-159.20474796491834,0.11349402938310545,0.8775
19921108A.fiji.ECH.BHT,-159.22033987117425,0.2435842868224676,0.6375
19921108A.fiji.NVS.BHT,-156.06509145443414,0.20771066698277066,0.765
19921108A.fiji.OBN.BHT,-157.2253789934839,0.17312696165677818,0.6925
19921108A.fiji.WUS.BHT,-149.3350931707596,0.0947805803672117,0.665
19921121A.southsandwich.TATO.BHT,-156.8534615990716,0.13593130030725736,0.65
19921121A.southsandwich.YSS.BHT,-171.4519588916839,0.13361579619465766,0.715
19921231A.kermadec.OBN.BHT,-163.01727059327254,0.19455153860890376,0.6975
19930113A.india.ANMO.BHT,-159.7897204010505,0.3913070506963791,0.6525
19930113A.india.NRIL.BHT,-155.0660628282329,0.0687636847815107,0.9
