file,410pred,410err,410amp,410qual
19881117A.philippine.HRV.BHT,-164.30618491,0.111194016365,0.0510927507776,0.63
19891018A.california.CAN.BHT,-149.600820301,0.0721098406943,0.145425860525,0.605
19900208A.philippine.CCM.BHT,-153.560975004,0.0996123842973,0.131726753759,0.6775
19900508A.panama.INU.BHT,-162.848108033,0.18325141154599997,0.09375848024139999,0.775
19901221A.tonga.SUR.BHT,-155.569623246,0.161854308407,0.0917848007907,0.6725
19910105A.myanmar.ANMO.BHT,-156.452704332,0.145133092151,0.0705289709437,0.87
19910221A.bering.TNV.BHT,-150.849932492,0.125794089568,0.342210844412,0.8675
19910704A.indonesia.TAM.BHT,-149.12461889600002,0.26445721468899996,0.311906774568,0.73
19910713A.oregon.CAN.BHT,-151.965131727,0.16219782733899998,0.0926771679425,0.7375
19910713A.oregon.DRV.BHT,-156.192494302,0.13298364654300002,0.09788244490430001,0.7
19910808A.minahassa.GSC.BHT,-150.14058060899998,0.244115757122,0.11068819464299999,0.8675
19910816A.california.CAN.BHT,-148.88849782399998,0.17336883914700002,0.12750295763699998,0.915
19910817A.california.CAN.BHT,-149.772625212,0.10369869153999998,0.114118615735,0.9
19910817A.california.DRV.BHT,-157.88940629799998,0.061403970609400005,0.11527819036499999,0.6225
19910918A.guatemala.DRV.BHT,-157.557064699,0.367132983003,0.09306434407160001,0.85
19920213A.vanuatu.TOL.BHT,-148.483668773,0.0935453335651,0.16035662911100002,0.645
19920403A.png.CCM.BHT,-151.008742941,0.152442992571,0.10646122378799999,0.7625
19920403A.png.HRV.BHT,-157.74535918200002,0.240018025148,0.143657055548,0.7625
19920406A.vancouver.CAN.BHT,-155.716687675,0.12489010787799999,0.0874452581923,0.675
19920423A.california.CTAO.BHT,-145.357376454,0.172591223352,0.174320681299,0.86
19920518A.panama.WUS.BHT,-163.339475739,0.0913438847792,0.204925814389,0.745
19920525A.cuba.CAN.BHT,-163.71059944700002,0.120945324475,0.07641127722180001,0.7025
19920617A.southshetland.MON.BHT,-167.546946354,0.16919298746800002,0.203044627479,0.835
19920710A.kuril.DRV.BHT,-149.90421088,0.143028761698,0.154093159958,0.8175
19920828A.ascension.SEY.BHT,-152.042602773,0.35463530910999996,0.133161454663,0.775
19920928A.taiwan.CCM.BHT,-151.782497208,0.408931054843,0.149452597196,0.8875
19921024A.newzealand.AQU.BHT,-154.830015068,0.165013137849,0.240333536769,0.8475
19921105A.png.RIFB.BHT,-161.18405095100002,0.38819141076499997,0.12166189644099999,0.615
19921108A.fiji.ARU.BHT,-146.10216924600002,0.153352519193,0.0573330233857,0.7025
19921108A.fiji.CACB.BHT,-160.073930403,0.127150107513,0.172756089703,0.915
19921108A.fiji.ECH.BHT,-159.770527337,0.233737216536,0.161658612492,0.6275
19921108A.fiji.NVS.BHT,-150.43361809700002,0.191121609199,0.0588718592174,0.765
19921108A.fiji.OBN.BHT,-153.455853001,0.107818932542,0.0686429252775,0.61
19921108A.fiji.WUS.BHT,-147.768485852,0.0980210438839,0.06888908654880001,0.6575
19921121A.southsandwich.TATO.BHT,-156.756452806,0.132713341762,0.309930131279,0.645
19921128A.chile.ERM.BHT,-160.42099895,0.0796341034643,0.122197813727,0.6125
19921231A.kermadec.OBN.BHT,-162.279460869,0.200895490633,0.20217422415,0.7
19930113A.india.NRIL.BHT,-157.34064836299999,0.0662973801137,0.163123856995,0.9125
19930120A.banda.CCM.BHT,-152.233157651,0.127817191587,0.127083055369,0.6325
19930120A.banda.PAS.BHT,-148.07006299100001,0.159092321341,0.211654074217,0.655
19930120A.banda.PFO.BHT,-154.851302633,0.249199392198,0.202551429523,0.91
19930306A.fiji.LVZ.BHT,-157.413322269,0.145227451811,0.0853328087789,0.7425
19930315A.chile.CTAO.BHT,-147.259133341,0.135091333482,0.198117020385,0.755
19930315A.chile.NOUC.BHT,-158.59846454799998,0.141401955208,0.262346482634,0.9075
19930315A.chile.NWAO.BHT,-155.984883714,0.163123555261,0.05493475469549999,0.7875
19930315A.chile.TSK.BHT,-153.92284514600001,0.16003034639,0.256474059642,0.67
19930417A.fiji.HRV.BHT,-150.222544351,0.364521544957,0.11554256813,0.6175
19930417A.fiji.WUS.BHT,-164.03141357799998,0.118013155431,0.116015182097,0.6975
19930516A.tonga.ALE.BHT,-151.379883017,0.121912490526,0.180092168798,0.9075
19930606A.mariana.TBT.BHT,-154.952810761,0.174340798062,0.119276608465,0.745
19930612A.indonesia.AGVB.BHT,-165.062276741,0.20222571041200002,0.15080789299,0.66
19930612A.indonesia.GSC.BHT,-156.398658062,0.11953695829000002,0.289680615462,0.7225
19930612A.indonesia.KONO.BHT,-154.66145596299998,0.11249282666799999,0.22600394495099999,0.755
19930618A.kermadec.DPC.BHT,-161.925186349,0.090835043015,0.214302516599,0.7875
19930618A.kermadec.LVZ.BHT,-152.98864800200002,0.36930889004100004,0.130914744147,0.675
19930623A.southshetland.CMB.BHT,-152.210239013,0.275986732219,0.16924197045699998,0.8525
19930623A.southshetland.KONO.BHT,-155.658324233,0.151868997851,0.238407225589,0.6275
19930623A.southshetland.TLY.BHT,-164.913445024,0.125862863682,0.286731331141,0.7075
19930630A.vanuatu.CDCB.BHT,-158.58609130600001,0.27059112170099997,0.04974790126019999,0.62
19930630A.vanuatu.WUS.BHT,-148.27717464399998,0.0681941122038,0.11891739552899999,0.645
19930706A.easterisland.CHTO.BHT,-162.626163078,0.279432418033,0.0616791359911,0.785
19930706A.easterisland.ERM.BHT,-149.199897323,0.143213931736,0.272709130975,0.84
19930706A.easterisland.NWAO.BHT,-153.599590337,0.23064472801199998,0.19285030901500003,0.725
19930706A.easterisland.TLY.BHT,-158.48148141,0.0847470429517,0.0729870865738,0.68
19930706A.easterisland.YSS.BHT,-154.60672611299998,0.169020623161,0.12336545937000001,0.79
19930711A.chile.NWAO.BHT,-154.97604560899998,0.08223376951150001,0.0758942782906,0.6925
19930804A.sumatera.HRV.BHT,-161.902119421,0.186459198629,0.12214937107999999,0.685
19930810A.newzealand.BDFB.BHT,-147.89807404799998,0.215438102289,0.0717091420534,0.6725
19930810B.newzealand.ATD.BHT,-149.512916732,0.220644412606,0.166848078821,0.605
19930820A.newguinea.PPDB.BHT,-164.21027246100002,0.19148044333900002,0.114088396142,0.635
19930820A.newguinea.SSB.BHT,-155.09883350200002,0.22212441585,0.197764481338,0.6375
19930901A.indonesia.SJG.BHT,-165.479330307,0.148339268735,0.203932786465,0.805
19930904A.savu.A23.BHT,-150.681906395,0.128687756718,0.110411596273,0.6
19930913A.newzealand.CDCB.BHT,-157.10616040899998,0.20855806151200001,0.121349995557,0.6275
19930913A.newzealand.KEV.BHT,-155.880684039,0.17320291911400001,0.0727094450497,0.775
19930927A.atlantic.A31.BHT,-152.183879165,0.281170856074,0.0974077567715,0.69
19930927A.atlantic.A33.BHT,-162.634207363,0.185026018689,0.177544886104,0.6175
19930927A.atlantic.A36.BHT,-156.594962163,0.10036969311899999,0.219170351446,0.7425
19930927A.atlantic.A38.BHT,-154.03580905200002,0.34811246030799997,0.163033725396,0.9675
19930927A.atlantic.A40.BHT,-152.846402034,0.209422405156,0.100164592249,0.6975
19930927A.atlantic.CMB.BHT,-152.126812025,0.0690552890854,0.147426342405,0.7975
19930927A.atlantic.PAS.BHT,-164.011967676,0.174995799797,0.095856554439,0.65
19930929A.india.ANMO.BHT,-163.089045595,0.23870767544399998,0.17978400879599998,0.625
19931005A.banda.A09.BHT,-144.013964975,0.18757211732,0.118287440021,0.6425
19931005A.banda.A11.BHT,-146.149208197,0.130060907284,0.14742394715600002,0.67
19931005A.banda.A13.BHT,-146.835787295,0.10065075542199999,0.122815293984,0.6
19931005A.banda.A14.BHT,-147.07067681200002,0.125699449536,0.14618574457699998,0.64
19931005A.banda.A19.BHT,-146.762419839,0.186024647604,0.137912151018,0.6075
19931005A.banda.A21.BHT,-145.951412974,0.217786463153,0.140717411887,0.6625
19931005A.banda.A22.BHT,-146.513649742,0.27509794800799997,0.130200207335,0.625
19931005A.banda.CMB.BHT,-152.80676398,0.117200243873,0.194310796098,0.6775
19931005A.banda.COR.BHT,-144.864787296,0.0941776533536,0.117883609563,0.645
19931013A.png.FURB.BHT,-166.879334682,0.24510737670000002,0.07110573376630001,0.8275
19931013A.png.PAB.BHT,-166.480494604,0.20687573782299998,0.150184006808,0.8675
19931024A.mexico.BOSA.BHT,-153.57895724,0.0842475143564,0.0659520929578,0.8175
19931024A.mexico.LBTB.BHT,-159.347159144,0.160644311244,0.07684530568,0.9
19931025A.png.FURB.BHT,-165.178163498,0.0621451692406,0.0958375385929,0.6425
19931025A.png.KEV.BHT,-158.716767056,0.32356249424600003,0.217812481493,0.8375
19931105A.bismarck.LPAZ.BHT,-157.046515049,0.124921371964,0.126363075227,0.85
19931113A.kamchatka.FURB.BHT,-152.591088355,0.12278030864,0.0898175292612,0.795
19931216A.aleutian.SYO.BHT,-163.409650493,0.114086524844,0.11338256443499999,0.6125
19940103A.auckland.KIV.BHT,-157.904416812,0.231130924608,0.157689289937,0.91
19940215A.loyalty.ABKT.BHT,-165.81101550399998,0.11193742499000002,0.127197283657,0.81
19940216A.vanuatu.FRMB.BHT,-157.785200951,0.12431387549799999,0.13907454586200002,0.6275
19940223A.iran.CMB.BHT,-156.82931439,0.329635235069,0.189809770423,0.6025
19940405A.aleutian.TRIB.BHT,-160.40201108600002,0.101955903979,0.122487725989,0.6
19940408A.japan.NNA.BHT,-164.038979493,0.209264234031,0.241102644026,0.665
19940518A.kuril.DRV.BHT,-148.719373263,0.127126447365,0.195142812653,0.8975
19940523A.taiwan.LPAZ.BHT,-150.21601620299998,0.127484881021,0.0894056773313,0.64
19940525A.indonesia.GSC.BHT,-154.723721123,0.0933513780655,0.212164174882,0.78
19940529A.myanmar.ANMO.BHT,-154.541584707,0.157810375295,0.167162376528,0.7525
19940605A.taiwan.CCM.BHT,-162.801557239,0.09850419681700001,0.151655801806,0.615
19940606A.colombia.ARU.BHT,-158.46494736,0.264009389116,0.118152578965,0.7475
19940606A.colombia.BB14.BHT,-164.913401192,0.16002795195299999,0.08197080168069999,0.705
19940606A.colombia.DRV.BHT,-153.608607926,0.10702512462899999,0.15357148080900002,0.8425
19940606A.colombia.MAJO.BHT,-154.956715134,0.08021093656360001,0.167314546836,0.66
19940606A.colombia.NRIL.BHT,-145.507384731,0.153454783204,0.199220026416,0.79
19940618A.newzealand.HRV.BHT,-150.079549466,0.13878483679300002,0.0546431186883,0.6925
19940618A.newzealand.KOND.BHT,-152.801155175,0.16945426515700002,0.10730334736500001,0.92
19940618A.newzealand.MBWE.BHT,-155.595078956,0.111957289954,0.140587207553,0.7
19940618A.newzealand.MTOR.BHT,-150.66977209200002,0.133478194532,0.100216762093,0.6225
19940618A.newzealand.PAND.BHT,-147.64735313100002,0.135905081274,0.151180451696,0.8175
19940618A.newzealand.SING.BHT,-155.675649335,0.09876172380519999,0.130386770844,0.735
19940618A.newzealand.TARA.BHT,-158.05008875,0.12227745942399999,0.188306868277,0.7125
19940618A.newzealand.YAK.BHT,-144.437363504,0.0876998190261,0.19291768375399998,0.9025
19940704A.mexico.ARU.BHT,-148.726056863,0.17807725469,0.190390450284,0.675
19940724A.vanuatu.EKS2.BHT,-157.166182682,0.148586521273,0.229570445964,0.7725
19940724A.vanuatu.ESK.BHT,-157.85411808799998,0.743387570246,0.193340716256,0.6175
19940724A.vanuatu.FRB.BHT,-150.47361624299998,0.25826186445099997,0.08945788440460001,0.7425
19940724A.vanuatu.PARB.BHT,-165.664018166,0.337865919448,0.148078473786,0.6725
19940724A.vanuatu.RIFB.BHT,-163.206660722,0.349878412719,0.169742501418,0.6375
19940804A.indonesia.KEV.BHT,-161.29273352299998,0.22458801182799998,0.0900983038754,0.7725
19940818A.kuril.CACB.BHT,-158.76745109200002,0.31745047159699996,0.12443800851299999,0.825
19940818A.kuril.COLL.BHT,-147.17148248700002,0.10966686873199999,0.183363854073,0.63
19940818A.kuril.DOOR.BHT,-155.335232408,0.168731663946,0.165558592543,0.6725
19940818A.kuril.SALI.BHT,-148.131046927,0.0748688131888,0.12174938087500001,0.6175
19940820A.kuril.DRV.BHT,-147.441220998,0.15655993599999998,0.120953794037,0.6575
19940820A.kuril.ROSL.BHT,-164.46128216600002,0.137123471322,0.196631764921,0.6725
19940820A.kuril.RUNG.BHT,-158.61441895299998,0.250331245719,0.30351705524,0.745
19940828A.kuril.IBIB.BHT,-160.735870078,0.213208886206,0.117380305778,0.6025
19940828A.kuril.SCHO.BHT,-165.540122641,0.11464542052200001,0.10660573527999999,0.7375
19940828A.kuril.SDV.BHT,-147.22021570799998,0.28556938407,0.132315896998,0.92
19940828A.kuril.SYO.BHT,-161.802307014,0.117064657377,0.112649784605,0.885
19940828A.kuril.TUND.BHT,-148.84241433,0.101365689803,0.10545019028699999,0.7575
19940903A.vanuatu.BGIO.BHT,-163.590498873,0.369718262825,0.0930457562733,0.605
19940903A.vanuatu.BRVK.BHT,-158.447867509,0.360271445269,0.0999196391198,0.6
19940903A.vanuatu.ZRN.BHT,-148.974047243,0.132841189808,0.062316329276099994,0.6675
19940912A.california.BB10.BHT,-157.014327027,0.134498206262,0.372040121986,0.6475
