file,time,error,quality
19881117A.philippine.HRV.BHT,-164.30618490955186,0.11119401636556528,0.63
19891018A.california.CAN.BHT,-149.60082030059874,0.07210984069422904,0.605
19900208A.philippine.CCM.BHT,-153.5609750043642,0.09961238429717928,0.6775
19900508A.panama.INU.BHT,-162.84810803311487,0.18325141154589705,0.775
19900623A.png.OBN.BHT,-143.2288812810076,0.2625694255212654,0.7
19901221A.tonga.SUR.BHT,-155.56962324609103,0.16185430840647316,0.6725
19910105A.myanmar.ANMO.BHT,-156.45270433210948,0.14513309215106052,0.87
19910221A.bering.TNV.BHT,-150.84993249215722,0.12579408956876387,0.8675
19910610A.atlantic.ERM.BHT,-143.21621205676018,0.09938331872064547,0.7125
19910704A.indonesia.TAM.BHT,-149.12461889603568,0.2644572146896693,0.73
19910713A.oregon.CAN.BHT,-151.96513172706304,0.16219782733912014,0.7375
19910713A.oregon.DRV.BHT,-156.19249430160437,0.13298364654274006,0.7
19910808A.minahassa.GSC.BHT,-150.14058060903713,0.24411575712234496,0.8675
19910816A.california.CAN.BHT,-148.88849782425845,0.17336883914642734,0.915
19910817A.california.CAN.BHT,-149.77262521241275,0.10369869154010206,0.9
19910817A.california.DRV.BHT,-157.8894062976281,0.061403970609330186,0.6225
19910918A.guatemala.DRV.BHT,-157.55706469882062,0.3671329830038663,0.85
19920403A.png.CCM.BHT,-151.008742940719,0.1524429925713384,0.7625
19920403A.png.HRV.BHT,-157.74535918201582,0.2400180251476625,0.7625
19920406A.vancouver.CAN.BHT,-155.71668767476524,0.12489010787778332,0.675
19920423A.california.CTAO.BHT,-145.35737645435472,0.17259122335252228,0.86
19920518A.panama.WUS.BHT,-163.33947573926233,0.09134388477933536,0.745
19920525A.cuba.CAN.BHT,-163.71059944678456,0.1209453244752625,0.7025
19920710A.kuril.DRV.BHT,-149.90421088005243,0.14302876169814874,0.8175
19920828A.ascension.SEY.BHT,-152.0426027733472,0.3546353091099208,0.775
19920928A.taiwan.CCM.BHT,-151.78249720757276,0.4089310548429879,0.8875
19921024A.newzealand.AQU.BHT,-154.83001506799792,0.1650131378497736,0.8475
19921105A.png.RIFB.BHT,-161.18405095077142,0.3881914107648923,0.615
19921108A.fiji.ARU.BHT,-146.1021692457997,0.153352519193438,0.7025
19921108A.fiji.CACB.BHT,-160.07393040342737,0.12715010751318362,0.915
19921108A.fiji.ECH.BHT,-159.7705273367257,0.2337372165358095,0.6275
19921108A.fiji.NVS.BHT,-150.43361809728972,0.1911216091988815,0.765
19921108A.fiji.OBN.BHT,-153.4558530013581,0.10781893254247454,0.61
19921108A.fiji.WUS.BHT,-147.7684858516595,0.09802104388362007,0.6575
19921121A.southsandwich.ERM.BHT,-169.89396863437537,0.1554136990546321,0.6025
19921121A.southsandwich.MON.BHT,-143.49686474177574,0.11214775235253348,0.7875
19921121A.southsandwich.TATO.BHT,-156.75645280642104,0.1327133417618619,0.645
19921121A.southsandwich.YSS.BHT,-169.80217618580446,0.14662317505790046,0.7475
19921128A.chile.ERM.BHT,-160.42099895002892,0.07963410346403252,0.6125
19921231A.kermadec.OBN.BHT,-162.2794608687716,0.20089549063275225,0.7
19930113A.india.NRIL.BHT,-157.34064836289784,0.06629738011384081,0.9125
19930120A.banda.CCM.BHT,-152.2331576514857,0.12781719158685428,0.6325
19930120A.banda.PAS.BHT,-148.07006299146485,0.15909232134067278,0.655
19930120A.banda.PFO.BHT,-154.85130263330356,0.2491993921984432,0.91
19930306A.fiji.LVZ.BHT,-157.41332226922415,0.1452274518109374,0.7425
19930315A.chile.CTAO.BHT,-147.25913334080317,0.13509133348218086,0.755
19930315A.chile.NOUC.BHT,-158.59846454783246,0.14140195520814974,0.9075
19930315A.chile.NWAO.BHT,-155.98488371424259,0.16312355526169,0.7875
19930315A.chile.TSK.BHT,-153.92284514570412,0.16003034639002225,0.67
19930417A.fiji.HRV.BHT,-150.22254435065304,0.3645215449569197,0.6175
19930516A.tonga.ALE.BHT,-151.37988301724934,0.1219124905257736,0.9075
19930516A.tonga.FRB.BHT,-141.76171173749572,0.3731214484965312,0.835
19930606A.mariana.TBT.BHT,-154.95281076115248,0.17434079806212005,0.745
19930612A.indonesia.AGVB.BHT,-165.0622767410721,0.20222571041207693,0.66
19930612A.indonesia.GSC.BHT,-156.39865806249185,0.11953695829015605,0.7225
19930612A.indonesia.KONO.BHT,-154.66145596331515,0.1124928266682476,0.755
19930618A.kermadec.DPC.BHT,-161.92518634909675,0.09083504301494924,0.7875
19930618A.kermadec.LVZ.BHT,-152.98864800179447,0.3693088900412458,0.675
19930623A.southshetland.CMB.BHT,-152.21023901308558,0.27598673221923264,0.8525
19930623A.southshetland.KONO.BHT,-155.65832423299432,0.1518689978514641,0.6275
19930623A.southshetland.TLY.BHT,-164.9134450242187,0.1258628636820218,0.7075
19930630A.vanuatu.CDCB.BHT,-158.58609130555584,0.2705911217007313,0.62
19930630A.vanuatu.WUS.BHT,-148.2771746438719,0.06819411220370625,0.645
19930706A.easterisland.CHTO.BHT,-162.62616307792388,0.27943241803354096,0.785
19930706A.easterisland.ERM.BHT,-149.1998973226529,0.14321393173546262,0.84
19930706A.easterisland.NWAO.BHT,-153.59959033650568,0.23064472801206665,0.725
19930706A.easterisland.TLY.BHT,-158.48148140966453,0.08474704295198016,0.68
19930706A.easterisland.YSS.BHT,-154.606726112792,0.16902062316088862,0.79
19930708A.vanuatu.NRIL.BHT,-142.52049213216551,0.09115429650314448,0.615
19930711A.chile.NWAO.BHT,-154.9760456089293,0.08223376951129464,0.6925
19930804A.sumatera.HRV.BHT,-161.9021194214368,0.1864591986286542,0.685
19930810A.newzealand.BDFB.BHT,-147.8980740477383,0.2154381022889217,0.6725
19930810A.newzealand.SEY.BHT,-142.76532596381426,0.10799307080012492,0.705
19930810B.newzealand.ATD.BHT,-149.51291673203147,0.22064441260624693,0.605
19930820A.newguinea.PPDB.BHT,-164.21027246103512,0.19148044333855224,0.635
19930820A.newguinea.SSB.BHT,-155.0988335016545,0.22212441585046167,0.6375
19930901A.indonesia.SJG.BHT,-165.47933030732852,0.14833926873492964,0.805
19930904A.savu.A23.BHT,-150.68190639540555,0.1286877567181702,0.6
19930913A.newzealand.CDCB.BHT,-157.1061604089234,0.20855806151239445,0.6275
19930913A.newzealand.KEV.BHT,-155.8806840393332,0.17320291911381816,0.775
19930927A.atlantic.A31.BHT,-152.18387916474666,0.2811708560733585,0.69
19930927A.atlantic.A36.BHT,-156.59496216289327,0.10036969311957024,0.7425
19930927A.atlantic.A38.BHT,-154.03580905236015,0.3481124603074917,0.9675
19930927A.atlantic.A40.BHT,-152.84640203359731,0.2094224051558517,0.6975
19930927A.atlantic.CMB.BHT,-152.12681202455,0.06905528908540574,0.7975
19930929A.india.ANMO.BHT,-163.08904559528827,0.238707675444168,0.625
19931005A.banda.A09.BHT,-144.013964975344,0.1875721173197174,0.6425
19931005A.banda.A11.BHT,-146.14920819677522,0.1300609072841691,0.67
19931005A.banda.A13.BHT,-146.83578729492922,0.10065075542205576,0.6
19931005A.banda.A14.BHT,-147.07067681211046,0.12569944953611314,0.64
19931005A.banda.A19.BHT,-146.76241983905004,0.18602464760364468,0.6075
19931005A.banda.A21.BHT,-145.9514129742137,0.21778646315297395,0.6625
19931005A.banda.A22.BHT,-146.51364974179268,0.27509794800843085,0.625
19931005A.banda.CMB.BHT,-152.8067639799136,0.11720024387278935,0.6775
19931005A.banda.COR.BHT,-144.86478729604985,0.09417765335326933,0.645
19931013A.png.FURB.BHT,-166.87933468181203,0.2451073767003624,0.8275
19931013A.png.PAB.BHT,-166.48049460419318,0.20687573782348254,0.8675
19931024A.mexico.BOSA.BHT,-153.5789572397139,0.08424751435655081,0.8175
19931024A.mexico.LBTB.BHT,-159.3471591436201,0.16064431124367753,0.9
19931025A.png.FURB.BHT,-165.17816349838498,0.062145169240342364,0.6425
19931025A.png.KEV.BHT,-158.7167670561395,0.32356249424671485,0.8375
19931105A.bismarck.LPAZ.BHT,-157.0465150488212,0.12492137196412242,0.85
19931113A.kamchatka.FURB.BHT,-152.59108835528107,0.12278030863976608,0.795
19931216A.aleutian.SYO.BHT,-163.40965049315471,0.11408652484403264,0.6125
19940103A.auckland.KIV.BHT,-157.90441681239142,0.2311309246082017,0.91
19940216A.vanuatu.FRMB.BHT,-157.7852009514651,0.12431387549732162,0.6275
19940223A.iran.CMB.BHT,-156.82931439025762,0.32963523506896714,0.6025
19940301A.iran.PPDB.BHT,-142.1026567292738,0.18417260629302,0.88
19940405A.aleutian.TRIB.BHT,-160.40201108649367,0.10195590397920452,0.6
19940408A.japan.NNA.BHT,-164.03897949335044,0.2092642340316002,0.665
19940518A.kuril.DRV.BHT,-148.71937326340617,0.12712644736483436,0.8975
