file,time,error,quality
0_0,-226.921500587,0.124703955802,0.885
0_105.00,-228.664261372,0.150576450001,0.9375
0_120.00,-228.57736768700002,0.193594140702,0.9675
0_135.00,-228.87840105200002,0.128914454877,0.9425
0_15.00,-227.84662993400002,0.133984160712,0.9075
0_150.00,-230.79086118799998,0.234244840006,0.9475
0_165.00,-229.794431863,0.150329950528,0.9125
0_180.00,-228.827116225,0.08759057011560001,0.865
0_195.00,-228.093631057,0.10514948816500001,0.91
0_210.00,-227.79108629400002,0.1115926494,0.9075
0_225.00,-227.217898383,0.0733027863486,0.8525
0_240.00,-227.019799682,0.0848316675873,0.86
0_255.00,-226.89443293099998,0.17695463212200002,0.8925
0_270.00,-227.96652141299998,0.11344894759299999,0.89
0_285.00,-228.442702613,0.15670341533399998,0.9625
0_30.00,-225.373743329,0.20469396732,1.0575
0_300.00,-229.91742192400002,0.143490624273,0.915
0_315.00,-228.647967433,0.152333863285,0.935
0_330.00,-228.149438207,0.09924788920569999,0.8425
0_345.00,-227.03526831599999,0.10017078585799999,0.85
0_45.00,-224.44715408599998,0.234711332071,1.13
0_60.00,-226.888166905,0.130205136016,0.885
0_75.00,-227.175594886,0.142277359409,0.92
0_90.00,-226.90602629400001,0.216073937208,0.92
15_0,-227.08273879400002,0.153974054999,0.88
15_109.55,-228.91304996,0.1525482042,0.9375
15_125.20,-230.186817587,0.142292099531,0.9575
15_140.85,-232.209828588,0.143923761525,0.8675
15_15.65,-228.702468358,0.15703072043400002,0.9225
15_156.50,-231.51966473099998,0.124596666035,0.795
15_172.15,-228.91360170099998,0.0758950766076,0.9375
15_187.80,-228.131562281,0.160063451509,0.9475
15_203.45,-227.02559644599998,0.0780922221401,0.8925
15_219.10,-227.554972373,0.0655754052664,0.8575
15_234.75,-227.63184756400003,0.09371565582910002,0.8575
15_250.40,-226.59784568700002,0.155737118466,0.9375
15_266.05,-226.921977338,0.13550060770199998,0.9075
15_281.70,-226.971765122,0.138632197477,0.9175
15_297.35,-227.181814217,0.177030586067,0.95
15_31.30,-228.16339729900002,0.166810487248,0.9325
15_313.00,-227.618040558,0.19523063472,0.9475
15_328.65,-227.528961886,0.192286030548,0.935
15_344.30,-226.38407478,0.15814746187200002,0.9175
15_46.95,-225.019888229,0.159407753921,1.02
15_62.60,-227.224921156,0.132826266458,0.8975
15_78.25,-228.12532251599998,0.116487537468,0.8975
15_93.90,-228.09825712900002,0.121416901029,0.915
30_0,-225.583402285,0.131985918245,0.8475
30_102.84,-229.101886085,0.137012519745,0.915
30_119.98,-229.92389116200002,0.121822919401,0.9275
30_137.12,-230.53077619,0.124813224047,0.89
30_154.26,-228.28668733400002,0.11439422006,0.9425
30_17.14,-228.36345023299998,0.30767592306999997,0.985
30_171.40,-228.354797166,0.12804824777499998,0.9375
30_188.54,-228.07430138700002,0.15026762816,0.9475
30_205.68,-227.554754856,0.0638945724817,0.865
30_222.82,-227.679707776,0.20581810082199997,1.0175
30_239.96,-227.24412975400003,0.148346219291,0.885
30_257.10,-226.792981142,0.130709745174,0.925
30_274.24,-227.17463519400002,0.09111148241219999,0.8675
30_291.38,-226.123617929,0.132903863589,0.965
30_308.52,-227.08300876400003,0.130021403175,0.875
30_325.66,-226.988067363,0.160137927823,0.9225
30_342.80,-226.364109049,0.155847815104,0.9325
30_51.42,-228.162218153,0.09603263638689999,0.6925
30_68.56,-228.613129445,0.0972088189721,0.87
30_85.70,-228.70917826099998,0.0836999294895,0.9175
45_0,-227.450211464,0.140389751852,0.95
45_105.85,-227.972253293,0.142981268853,0.965
45_127.02,-229.41289102099998,0.118879721411,0.9
45_148.19,-228.55714605900002,0.159996717042,0.9375
45_169.36,-227.61079462900003,0.0784820295576,0.8675
45_190.53,-227.764480116,0.09737506292680001,0.895
45_21.17,-227.659783673,0.144883298131,0.9325
45_211.70,-227.667201854,0.131786664595,0.89
45_232.87,-227.657708525,0.18818578738400002,0.96
45_254.04,-227.390466333,0.146829192361,0.8725
45_275.21,-228.307478708,0.17167143832000004,0.9625
45_296.38,-225.662706584,0.154363410792,0.815
45_317.55,-224.28345389400002,0.113876084474,0.955
45_338.72,-224.616550913,0.143625332019,0.9425
45_42.34,-226.993757215,0.152209483796,0.9325
45_63.51,-228.387555596,0.10931143053799999,0.845
45_84.68,-228.067042627,0.09303823108449999,0.94
60_0,-225.355345743,0.141073677517,0.95
60_120.00,-229.40856297099998,0.12134989305600001,0.9425
60_150.00,-228.22823106799999,0.149111139497,0.9575
60_180.00,-227.362818141,0.107596439407,0.8875
60_210.00,-227.48874156099998,0.128367225461,0.89
60_240.00,-226.9591163,0.172013230017,0.955
60_270.00,-227.53602405599997,0.15946137819599998,0.9575
60_30.00,-225.884587282,0.0601055517935,0.75
60_300.00,-225.01410340299998,0.140230231018,0.9725
60_330.00,-224.02423131700002,0.0989508725669,0.8975
60_60.00,-225.914896068,0.138848807438,0.9225
60_90.00,-226.58573368400002,0.194927341718,0.9125
75_0,-224.05901219999998,0.129731047027,0.9425
75_120.00,-226.675034334,0.12638193908099998,0.87
75_180.00,-226.568525795,0.0924390851138,0.9075
75_240.00,-226.503880605,0.149996904211,0.98
75_300.00,-224.95678025400002,0.082226238657,0.9725
75_60.00,-225.28139103900003,0.101074782774,0.92
90_0,-224.621651122,0.09655090818,0.96
n15_0,-226.906311175,0.223111924584,0.985
n15_109.55,-227.568811915,0.0818245482149,0.905
n15_125.20,-226.858875712,0.131712728699,0.9675
n15_140.85,-227.481827926,0.120257932108,0.9
n15_15.65,-227.425819956,0.130789291774,0.865
n15_156.50,-228.970455946,0.117421865249,0.93
n15_172.15,-229.83063839099998,0.162753022564,0.9325
n15_187.80,-228.548131657,0.106190421677,0.895
n15_203.45,-227.77949037,0.117878069368,0.91
n15_219.10,-227.484926045,0.11695502952600001,0.8975
n15_234.75,-227.203561884,0.21842324325100002,0.94
n15_250.40,-227.320818245,0.192310573815,0.7925
n15_266.05,-227.851050495,0.19974315043699997,0.895
n15_281.70,-228.46378450000003,0.159944797108,0.9125
n15_297.35,-229.767406408,0.166654482454,0.9425
n15_31.30,-226.156741795,0.173323359471,0.9125
n15_313.00,-228.73094621400003,0.155718500316,0.9325
n15_328.65,-228.03462092,0.198758934789,0.9575
n15_344.30,-227.671542734,0.137868456112,0.875
n15_46.95,-227.01972144,0.10913883052899999,0.8825
n15_62.60,-227.62275485599997,0.10972110144899999,0.85
n15_78.25,-227.413280285,0.15543981594,0.925
n15_93.90,-226.76681641599998,0.0817864440027,0.88
n30_0,-227.62549417099999,0.118676999353,0.8325
n30_102.84,-227.362386974,0.110291451084,0.8825
n30_119.98,-227.997063082,0.146518997462,0.8525
n30_137.12,-226.880334108,0.115652005614,0.8675
n30_154.26,-227.661162513,0.144579514725,0.9
