file,lat,lon,660pred,660err,660amp,660qual
19900614A.philippine.CCM.BHT,38.0556983948,-91.2445983887,-232.948294102,0.233176421102,0.158564183553,0.6675
19900623A.png.OBN.BHT,55.1146011353,36.567401886,-228.095741497,0.103777576502,0.136068789324,0.73
19900902A.ecuador.ERM.BHT,42.0149993896,143.157196045,-231.19496919999997,0.229792045872,0.18705031057799998,0.7375
19900914A.southsandwich.ALE.BHT,82.5033035278,-62.3499984741,-233.598216387,0.140767958792,0.08813321461510001,0.6525
19900917A.macquarie.ALE.BHT,82.5033035278,-62.3499984741,-232.251000484,0.0996877014703,0.116604855326,0.7775
19900917A.macquarie.KIV.BHT,43.956199646,42.6888008118,-230.61478365,0.08604145282379999,0.09042142506310001,0.68
19910713A.oregon.DRV.BHT,-66.6649093628,140.002075195,-233.95120648,0.10939826847,0.07014182323189999,0.6575
19911101A.newzealand.ALE.BHT,82.5033035278,-62.3499984741,-227.663902449,0.191167562342,0.20181435370700002,0.865
19920302A.kamchatka.DRV.BHT,-66.6649093628,140.002075195,-229.232895617,0.164430234058,0.19622064748,0.8725
19920424A.pakistan.ISA.BHT,35.6629981995,-118.473297119,-223.40863072599998,0.167008140273,0.171805013638,0.6375
19920518A.panama.CTAO.BHT,-20.0881996155,146.254501343,-227.336099939,0.207233800559,0.10128693672900001,0.68
19920828A.ascension.CAN.BHT,-35.3187141418,148.996322632,-226.06017542400002,0.0767403485464,0.0655593243757,0.635
19921108A.fiji.RIFB.BHT,-20.0736999512,-47.5018997192,-226.857241864,0.178074829711,0.129933510365,0.685
19921128A.chile.ERM.BHT,42.0149993896,143.157196045,-234.552317397,0.17324338752000001,0.110275174965,0.7475
19930113A.india.ANMO.BHT,34.9458999634,-106.457199097,-226.79861228299998,0.18820205783399999,0.0458698377238,0.685
19930113A.india.ISA.BHT,35.6629981995,-118.473297119,-227.28416425400002,0.11396670923900001,0.05844857461109999,0.8975
19930113A.india.NRIL.BHT,69.5048980713,88.4413986206,-228.01619027799998,0.325313581026,0.10909060844900001,0.835
19930306A.fiji.LVZ.BHT,67.8979034424,34.6514015198,-227.672600759,0.131959842951,0.0695987775653,0.8275
19930306A.fiji.OBN.BHT,55.1146011353,36.567401886,-230.54050058200002,0.20428855941799998,0.22798941298,0.8175
19930315A.chile.CTAO.BHT,-20.0881996155,146.254501343,-228.048961972,0.180602274661,0.251425199456,0.695
19930511A.philippine.TBT.BHT,28.6793994904,-17.9144992828,-230.81859723099998,0.09637193273330001,0.159272055837,0.6575
19930515A.aleutian.CDCB.BHT,-20.2364997864,-44.7182006836,-231.695207493,0.0964046438555,0.125879762785,0.695
19930630A.vanuatu.KONO.BHT,59.6491012573,9.59819984436,-229.40406870700002,0.309481101528,0.185330794696,0.685
19930706A.easterisland.BGY.BHT,44.8026008606,20.5158004761,-231.745023893,0.09201369960010002,0.227729885894,0.8925
19930706A.easterisland.TLY.BHT,51.6806983948,103.643798828,-232.85946217,0.254584230954,0.042805869762199994,0.655
19930708A.vanuatu.KONO.BHT,59.6491012573,9.59819984436,-231.438960175,0.10110366781300001,0.128788890546,0.6625
19930901A.indonesia.CDCB.BHT,-20.2364997864,-44.7182006836,-229.385157085,0.128750007131,0.154877719025,0.92
19930904A.savu.ANMO.BHT,34.9458999634,-106.457199097,-226.01677449099998,0.12801166893899998,0.0703996154975,0.83
19930907A.kermadec.HRV.BHT,42.506401062,-71.5582962036,-226.07070135700002,0.233456451652,0.052894332197199995,0.9775
