file,time,error,quality
19890531A.newzealand.SSB.BHT,-238.0228493543341,0.10563916055164567,0.6
19890913A.atlantic.CAN.BHT,-214.1115787621492,0.4265927292357016,0.78
19891018A.california.CAN.BHT,-219.84843808451416,0.12335653111257674,0.69
19900614A.philippine.CCM.BHT,-232.9482941024312,0.2331764211022845,0.6675
19900902A.ecuador.ERM.BHT,-231.1959888156504,0.22912672404258705,0.76
19900914A.southsandwich.ALE.BHT,-233.59821638667043,0.1407679587918295,0.6525
19900917A.macquarie.ALE.BHT,-232.25135218420414,0.10033185960418807,0.785
19900917A.macquarie.KIV.BHT,-230.6147836502641,0.08604145282381506,0.68
19900930A.ryukyu.CCM.BHT,-211.2403710707385,0.126137256362123,0.6425
19901211A.tonga.SUR.BHT,-221.0739043992221,0.29902898969043656,0.805
19910209A.solomon.HRV.BHT,-235.0019686853136,0.12954415129798702,0.715
19910615A.southsandwich.OBN.BHT,-218.4925911849863,0.43690622948438496,0.71
19910704A.indonesia.COR.BHT,-214.1940623702431,0.1322201320549986,0.74
19910704A.indonesia.PAS.BHT,-216.9970165064248,0.1445229968761533,0.72
19910713A.oregon.CAN.BHT,-219.5618600133451,0.10457637087947358,0.7075
19910713A.oregon.DRV.BHT,-233.951206479757,0.10939826847008544,0.6575
19910814A.vanuatu.KONO.BHT,-237.73531946691986,0.37952731334979656,0.6025
19910816A.california.CAN.BHT,-222.82462415412982,0.4533340654269087,0.6125
19910817A.california.CAN.BHT,-219.40901757471096,0.09561698435674597,0.7825
19910817A.california.CTAO.BHT,-214.589748636652,0.1120726997426848,0.6925
19911101A.newzealand.ALE.BHT,-227.66390244864314,0.19116756234196555,0.865
19920302A.kamchatka.DRV.BHT,-229.23289561712292,0.1644302340584368,0.8725
19920418A.sumatera.CCM.BHT,-239.8264723232961,0.07044329928801214,0.65
19920424A.pakistan.ISA.BHT,-223.4086307256829,0.1670081402726398,0.6375
19920518A.panama.CTAO.BHT,-227.33609993898256,0.20723380055850027,0.68
19920518A.panama.NWAO.BHT,-236.3200548297464,0.28780679013704075,0.9525
19920617A.southshetland.YSS.BHT,-247.26764218742161,0.4733536770457342,0.8475
19920802A.indonesia.KONO.BHT,-215.27535337958642,0.089003289946688,0.6725
19920807A.alaska.CAN.BHT,-211.19196217590505,0.12703580428372754,0.6925
19920828A.ascension.CAN.BHT,-226.0601754238521,0.07674034854628822,0.635
19921108A.fiji.AQU.BHT,-244.4059485352876,0.08148546143943204,0.7125
19921108A.fiji.OBN.BHT,-219.4952278065054,0.21492327566611769,0.76
19921108A.fiji.RIFB.BHT,-226.85724186359963,0.17807482971130026,0.685
19921128A.chile.ERM.BHT,-234.55231739716191,0.17324338751987287,0.7475
19921218A.png.CDCB.BHT,-236.76781397707626,0.12106508431670622,0.7125
19930113A.india.ANMO.BHT,-226.79861228251758,0.18820205783332047,0.685
19930113A.india.ISA.BHT,-227.284164253558,0.11396670923974525,0.8975
19930113A.india.NRIL.BHT,-228.01619027817318,0.3253135810259555,0.835
19930306A.fiji.LVZ.BHT,-227.67260075869697,0.13195984295072144,0.8275
19930306A.fiji.OBN.BHT,-230.540500581784,0.2042885594181587,0.8175
19930315A.chile.CAN.BHT,-219.1381845587289,0.13571435087025815,0.8825
19930315A.chile.CTAO.BHT,-228.0489619719253,0.18060227466119647,0.695
19930315A.chile.ERM.BHT,-238.068665164136,0.13863458429219574,0.78
19930511A.philippine.TBT.BHT,-230.81859723090446,0.09637193273315804,0.6575
19930515A.aleutian.CDCB.BHT,-231.69520749348962,0.09640464385528393,0.695
19930515A.aleutian.PMSA.BHT,-238.68859488626583,0.17029383547128427,0.755
19930517A.png.AGVB.BHT,-241.2975924718761,0.13706405330167545,0.7425
19930618A.kermadec.NRIL.BHT,-220.22427668566743,0.19690088804617004,0.7875
19930630A.vanuatu.KONO.BHT,-229.4040687069623,0.3094811015279437,0.685
19930630A.vanuatu.NRIL.BHT,-218.2756214389711,0.09499115659120376,0.6625
19930630A.vanuatu.WUS.BHT,-220.11506130150792,0.14598794619035602,0.68
19930706A.easterisland.BGY.BHT,-231.7457567330512,0.09292254813120944,0.895
19930706A.easterisland.TLY.BHT,-232.8594621702005,0.2545842309543533,0.655
19930706A.easterisland.WUS.BHT,-243.0995802325399,0.2462231687737815,0.69
19930708A.vanuatu.KONO.BHT,-231.43896017519933,0.10110366781301604,0.6625
19930810A.newzealand.TAM.BHT,-236.98250335611957,0.12483762310665247,0.93
19930810A.newzealand.TRIB.BHT,-209.71886320247341,0.10733201227387792,0.66
19930820A.newguinea.FRMB.BHT,-246.1969960399217,0.08554917880395818,0.61
19930820A.newguinea.TRIB.BHT,-237.2907541955734,0.17026100203656808,0.8325
19930901A.indonesia.CDCB.BHT,-229.38599026592442,0.12956505610170482,0.9225
19930904A.savu.ANMO.BHT,-226.01677449058337,0.12801166893897015,0.83
19930904A.savu.FFC.BHT,-220.91998970229614,0.12351619409787452,0.7425
19930904A.savu.GSC.BHT,-221.04857024868068,0.1838820392521722,0.76
19930907A.kermadec.HRV.BHT,-226.07070135654087,0.2334564516519223,0.9775
19930913A.newzealand.OBN.BHT,-227.6301560603448,0.07846737596568505,0.6625
19930927A.atlantic.A35.BHT,-224.34777701976543,0.10688730389638026,0.7925
19930927A.atlantic.A36.BHT,-222.42576287030394,0.07493192459106324,0.765
19930927A.atlantic.A38.BHT,-220.20794088143444,0.12702333595888415,0.7525
19930927A.atlantic.A40.BHT,-219.19233049779203,0.11748043045609642,0.7225
19930927A.atlantic.A41.BHT,-218.27692289730118,0.09578224595365492,0.72
19930927A.atlantic.A43.BHT,-216.06948320687263,0.1426440891764887,0.66
19930927A.atlantic.A44.BHT,-216.03083099278209,0.20086415487677914,0.625
19930929A.india.FRMB.BHT,-230.79615332584387,0.11269506521494453,0.6175
19931005A.banda.A03.BHT,-216.28684294208944,0.08488216088233727,0.6025
19931005A.banda.A05.BHT,-216.41190484297226,0.13994743656316722,0.6025
19931005A.banda.A12.BHT,-216.53059888283408,0.09900667876214267,0.6
19931005A.banda.CMB.BHT,-225.26884332237145,0.15160664696235185,0.6
19931005A.banda.LPAZ.BHT,-240.27084661924408,0.16280358232569228,0.63
19931013A.png.AGVB.BHT,-240.36692852574456,0.2871209896487244,0.8225
19931013A.png.CDCB.BHT,-243.6474824742409,0.14011914898494945,0.885
19931013A.png.FRMB.BHT,-239.8463089187366,0.1945381197913248,0.8225
19931013A.png.FURB.BHT,-240.39714203451425,0.1261611955164109,0.6725
19931024A.mexico.BOSA.BHT,-220.34461364000572,0.07837387654059495,0.8175
19931105A.bismarck.LPAZ.BHT,-232.87472065879453,0.2116170838236831,0.775
19931113A.kamchatka.CACB.BHT,-240.83624763149447,0.11068925863371988,0.6675
19931119A.alaska.CACB.BHT,-232.75781538293643,0.18317222827212312,0.765
19931126A.solomon.CDCB.BHT,-235.7638328253627,0.14355816532770174,0.625
19940103A.auckland.KIV.BHT,-241.6094117286846,0.08988178902756312,0.665
