file,lat,lon,410pred,410err,410amp,410qual
19891018A.california.CAN.BHT,-35.3187141418,148.996322632,-149.600820301,0.0721098406943,0.145425860525,0.605
19900208A.philippine.CCM.BHT,38.0556983948,-91.2445983887,-153.560975004,0.0996123842973,0.131726753759,0.6775
19900508A.panama.INU.BHT,35.3499984741,137.029006958,-162.848108033,0.18325141154599997,0.09375848024139999,0.775
19901221A.tonga.SUR.BHT,-32.379699707,20.8117008209,-155.569623246,0.161854308407,0.0917848007907,0.6725
19910105A.myanmar.ANMO.BHT,34.9458999634,-106.457199097,-156.452704332,0.145133092151,0.0705289709437,0.87
19910221A.bering.TNV.BHT,-74.6999969482,164.119995117,-150.849932492,0.125794089568,0.342210844412,0.8675
19910704A.indonesia.TAM.BHT,22.7914905548,5.52837991714,-149.12461889600002,0.26445721468899996,0.311906774568,0.73
19910713A.oregon.CAN.BHT,-35.3187141418,148.996322632,-151.965131727,0.16219782733899998,0.0926771679425,0.7375
19910713A.oregon.DRV.BHT,-66.6649093628,140.002075195,-156.192494302,0.13298364654300002,0.09788244490430001,0.7
19910808A.minahassa.GSC.BHT,35.3027992249,-116.808296204,-150.14058060899998,0.244115757122,0.11068819464299999,0.8675
19910816A.california.CAN.BHT,-35.3187141418,148.996322632,-148.88849782399998,0.17336883914700002,0.12750295763699998,0.915
19910817A.california.CAN.BHT,-35.3187141418,148.996322632,-149.772625212,0.10369869153999998,0.114118615735,0.9
19910817A.california.DRV.BHT,-66.6649093628,140.002075195,-157.88940629799998,0.061403970609400005,0.11527819036499999,0.6225
19910918A.guatemala.DRV.BHT,-66.6649093628,140.002075195,-157.557064699,0.367132983003,0.09306434407160001,0.85
19920403A.png.CCM.BHT,38.0556983948,-91.2445983887,-151.008742941,0.152442992571,0.10646122378799999,0.7625
19920403A.png.HRV.BHT,42.506401062,-71.5582962036,-157.74535918200002,0.240018025148,0.143657055548,0.7625
19920406A.vancouver.CAN.BHT,-35.3187141418,148.996322632,-155.716687675,0.12489010787799999,0.0874452581923,0.675
19920518A.panama.WUS.BHT,41.1990013123,79.2180023193,-163.339475739,0.0913438847792,0.204925814389,0.745
19920710A.kuril.DRV.BHT,-66.6649093628,140.002075195,-149.90421088,0.143028761698,0.154093159958,0.8175
19920828A.ascension.SEY.BHT,62.9329986572,152.373001099,-152.042602773,0.35463530910999996,0.133161454663,0.775
19920928A.taiwan.CCM.BHT,38.0556983948,-91.2445983887,-151.782497208,0.408931054843,0.149452597196,0.8875
19921024A.newzealand.AQU.BHT,42.3540000916,13.404999733,-154.830015068,0.165013137849,0.240333536769,0.8475
19921105A.png.RIFB.BHT,-20.0736999512,-47.5018997192,-161.18405095100002,0.38819141076499997,0.12166189644099999,0.615
19921108A.fiji.CACB.BHT,-21.6802005768,-46.7326011658,-160.073930403,0.127150107513,0.172756089703,0.915
19921108A.fiji.ECH.BHT,48.2163124084,7.15896081924,-159.770527337,0.233737216536,0.161658612492,0.6275
19921108A.fiji.NVS.BHT,54.8404006958,83.2345962524,-150.43361809700002,0.191121609199,0.0588718592174,0.765
19921108A.fiji.OBN.BHT,55.1146011353,36.567401886,-153.455853001,0.107818932542,0.0686429252775,0.61
19921121A.southsandwich.TATO.BHT,24.9734992981,121.49710083,-156.756452806,0.132713341762,0.309930131279,0.645
19921128A.chile.ERM.BHT,42.0149993896,143.157196045,-160.42099895,0.0796341034643,0.122197813727,0.6125
19921231A.kermadec.OBN.BHT,55.1146011353,36.567401886,-162.279460869,0.200895490633,0.20217422415,0.7
19930113A.india.NRIL.BHT,69.5048980713,88.4413986206,-157.34064836299999,0.0662973801137,0.163123856995,0.9125
19930120A.banda.CCM.BHT,38.0556983948,-91.2445983887,-152.233157651,0.127817191587,0.127083055369,0.6325
19930120A.banda.PFO.BHT,33.6091995239,-116.455299377,-154.851302633,0.249199392198,0.202551429523,0.91
19930306A.fiji.LVZ.BHT,67.8979034424,34.6514015198,-157.413322269,0.145227451811,0.0853328087789,0.7425
19930315A.chile.NOUC.BHT,-22.0986309052,166.306655884,-158.59846454799998,0.141401955208,0.262346482634,0.9075
19930315A.chile.NWAO.BHT,-32.9277000427,117.238998413,-155.984883714,0.163123555261,0.05493475469549999,0.7875
19930315A.chile.TSK.BHT,36.2108001709,140.109695435,-153.92284514600001,0.16003034639,0.256474059642,0.67
19930417A.fiji.HRV.BHT,42.506401062,-71.5582962036,-150.222544351,0.364521544957,0.11554256813,0.6175
19930516A.tonga.ALE.BHT,82.5033035278,-62.3499984741,-151.379883017,0.121912490526,0.180092168798,0.9075
19930606A.mariana.TBT.BHT,28.6793994904,-17.9144992828,-154.952810761,0.174340798062,0.119276608465,0.745
19930612A.indonesia.GSC.BHT,35.3027992249,-116.808296204,-156.398658062,0.11953695829000002,0.289680615462,0.7225
19930612A.indonesia.KONO.BHT,59.6491012573,9.59819984436,-154.66145596299998,0.11249282666799999,0.22600394495099999,0.755
19930618A.kermadec.DPC.BHT,50.3502006531,16.3222007751,-161.925186349,0.090835043015,0.214302516599,0.7875
19930618A.kermadec.LVZ.BHT,67.8979034424,34.6514015198,-152.98864800200002,0.36930889004100004,0.130914744147,0.675
19930623A.southshetland.CMB.BHT,38.0345497131,-120.386512756,-152.210239013,0.275986732219,0.16924197045699998,0.8525
19930623A.southshetland.KONO.BHT,59.6491012573,9.59819984436,-155.658324233,0.151868997851,0.238407225589,0.6275
19930630A.vanuatu.CDCB.BHT,-20.2364997864,-44.7182006836,-158.58609130600001,0.27059112170099997,0.04974790126019999,0.62
19930706A.easterisland.CHTO.BHT,18.8141002655,98.9442977905,-162.626163078,0.279432418033,0.0616791359911,0.785
19930706A.easterisland.ERM.BHT,42.0149993896,143.157196045,-149.199897323,0.143213931736,0.272709130975,0.84
19930706A.easterisland.NWAO.BHT,-32.9277000427,117.238998413,-153.599590337,0.23064472801199998,0.19285030901500003,0.725
19930706A.easterisland.TLY.BHT,51.6806983948,103.643798828,-158.48148141,0.0847470429517,0.0729870865738,0.68
19930706A.easterisland.YSS.BHT,46.9586982727,142.760406494,-154.60672611299998,0.169020623161,0.12336545937000001,0.79
19930711A.chile.NWAO.BHT,-32.9277000427,117.238998413,-154.97604560899998,0.08223376951150001,0.0758942782906,0.6925
19930804A.sumatera.HRV.BHT,42.506401062,-71.5582962036,-161.902119421,0.186459198629,0.12214937107999999,0.685
19930810B.newzealand.ATD.BHT,11.529999733,42.8470001221,-149.512916732,0.220644412606,0.166848078821,0.605
19930820A.newguinea.SSB.BHT,45.2789993286,4.54199981689,-155.09883350200002,0.22212441585,0.197764481338,0.6375
19930904A.savu.A23.BHT,44.4271011353,-122.944198608,-150.681906395,0.128687756718,0.110411596273,0.6
19930913A.newzealand.CDCB.BHT,-20.2364997864,-44.7182006836,-157.10616040899998,0.20855806151200001,0.121349995557,0.6275
19930913A.newzealand.KEV.BHT,69.7565002441,27.0034999847,-155.880684039,0.17320291911400001,0.0727094450497,0.775
19930927A.atlantic.A31.BHT,44.4272003174,-122.33820343,-152.183879165,0.281170856074,0.0974077567715,0.69
19930927A.atlantic.A33.BHT,44.4183006287,-122.139701843,-162.634207363,0.185026018689,0.177544886104,0.6175
19930927A.atlantic.A36.BHT,44.4174003601,-121.852096558,-156.594962163,0.10036969311899999,0.219170351446,0.7425
19930927A.atlantic.A38.BHT,44.4168014526,-121.616600037,-154.03580905200002,0.34811246030799997,0.163033725396,0.9675
19930927A.atlantic.A40.BHT,44.4145011902,-121.438796997,-152.846402034,0.209422405156,0.100164592249,0.6975
19930927A.atlantic.CMB.BHT,38.0345497131,-120.386512756,-152.126812025,0.0690552890854,0.147426342405,0.7975
19930929A.india.ANMO.BHT,34.9458999634,-106.457199097,-163.089045595,0.23870767544399998,0.17978400879599998,0.625
19931005A.banda.CMB.BHT,38.0345497131,-120.386512756,-152.80676398,0.117200243873,0.194310796098,0.6775
19931024A.mexico.BOSA.BHT,-28.6140995026,25.2555294037,-153.57895724,0.0842475143564,0.0659520929578,0.8175
19931024A.mexico.LBTB.BHT,-25.0151004791,25.5966491699,-159.347159144,0.160644311244,0.07684530568,0.9
19931025A.png.KEV.BHT,69.7565002441,27.0034999847,-158.716767056,0.32356249424600003,0.217812481493,0.8375
19931105A.bismarck.LPAZ.BHT,-16.2879009247,-68.1306915283,-157.046515049,0.124921371964,0.126363075227,0.85
19931113A.kamchatka.FURB.BHT,-20.6781997681,-46.2779006958,-152.591088355,0.12278030864,0.0898175292612,0.795
19940103A.auckland.KIV.BHT,43.956199646,42.6888008118,-157.904416812,0.231130924608,0.157689289937,0.91
19940216A.vanuatu.FRMB.BHT,-20.4876003265,-45.6389007568,-157.785200951,0.12431387549799999,0.13907454586200002,0.6275
19940223A.iran.CMB.BHT,38.0345497131,-120.386512756,-156.82931439,0.329635235069,0.189809770423,0.6025
19940405A.aleutian.TRIB.BHT,-20.6723995209,-51.3260002136,-160.40201108600002,0.101955903979,0.122487725989,0.6
19940523A.taiwan.LPAZ.BHT,-16.2879009247,-68.1306915283,-150.21601620299998,0.127484881021,0.0894056773313,0.64
